student_id,name,gender,attendance,math,science,english
1,Roshan,M,95,97,78,81
2,Samjhana,F,70,59,66,63
3,Menuka,F,73,71,54,58
4,Bijay,M,40,54,57,33
5,Prabin,M,86,81,85,81
6,Rajan,M,47,46,51,28
7,Kabita,F,90,82,94,86
8,Santosh,M,93,94,82,92
9,Sushmita,F,95,93,89,92
10,Rajan,M,77,73,57,67
11,Binod,M,70,57,61,73
12,Bikash,M,91,90,81,86
13,Sagar,M,61,53,49,30
14,Anita,F,71,58,60,73
15,Bikash,M,53,40,40,32
16,Shreya,F,71,60,61,78
17,Rajan,M,46,52,52,50
18,Asha,F,83,71,66,75
19,Ram,M,85,98,95,86
20,Nita,F,68,67,65,61
21,Arjun,M,72,69,59,69
22,Prakash,M,76,74,66,66
23,Hari,M,98,81,98,99
24,Suman,M,97,95,91,85
25,Bijay,M,98,99,91,85
26,Rajesh,M,92,83,85,86
27,Niraj,M,77,68,62,75
28,Prakash,M,79,71,56,56
29,Prakash,M,78,58,78,72
30,Suman,M,47,37,36,51
31,Santosh,M,53,37,46,46
32,Sabita,F,89,92,98,90
33,Bijay,M,72,76,73,66
34,Suman,M,50,33,34,40
35,Hari,M,92,87,80,93
36,Sabita,F,95,95,95,84
37,Pooja,F,80,64,78,75
38,Puja,F,73,57,61,56
39,Prabin,M,71,72,78,60
40,Roshan,M,82,76,59,72
41,Sabina,F,88,97,82,97
42,Santosh,M,60,33,32,51
43,Manisha,F,83,61,79,76
44,Arjun,M,74,67,73,63
45,Bikash,M,53,31,32,30
46,Sabita,F,65,68,66,74
47,Nita,F,65,57,75,62
48,Prakash,M,83,65,80,75
49,Ashish,M,74,61,71,71
50,Niraj,M,71,73,81,55
